Meaning,,Jurchen,,,,,,Manchu,,,,,,Xibe,,,,,,Hezhe,,,,,,Kur-Urmì,,,,,,Bikin Nanai,,,,,,Najkhin Nanai,,,,,,Ulch,,,,,,Orok,,,,,,Udihe,,,,,,Oroch,,,,,,Solon,,,,,,Oroqen,,,,,,Khamnigan Evenki,,,,,,Stony Tunguska Evenki (Southern),,,,,,"Strelka-Chunya Evenki (Krasnoyarsk krai, Evenki municipal district; Southern)",,,,,,"Tutonchany Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",,,,,,Negidal,,,,,,Even,,,,,
,root,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basìc orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References
,dalvə,,,,,,,,,,,,,dalvə,dalvə,dɑlvɘ,,,Li 1986: 144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dalbú,dalbu,daˁlbuˁ,,,Novikova 1980: 168
,ańčin-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,an'čín-dú,ańčin-du,aˁɲʧiˁnduˁ,,place near smth. - DAT,Novikova 1980: 158
,ərməju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ərməju,ərməju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
person (n.),niə[l]ma,nie[l]ma,niə[l]ma,niə[l]ma,,,Kane 1989: 265,niyalma,nijalma,njijalma,,,Norman 1978: 216,nan,nan,nɑn,,,Li 1986: 149,niɔ,nio,nio,,,Zhang et al. 1989: 135,,,,,,,naí,naị,nae,,,Sem 1976: 174,naj,naj,naj,,,Onenko 1980: 280,n'ī,ńiː,ɲiː,,,Sunik 1985: 219,nari,nari,nɑri,,,Ikegami 1997: 134,nī,niː,njiː,who?,,Girfanova 2001: 224,n'æ,ńäː,ɲæ,,,"Avrorin, Lebedeva 1978: 210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bəjə,,,,,,,,,,,,,,,,,,,,,,,,,bèjè,bəjə,bəjə,,,Sunik 1958: 167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beye,bəjə,bəjə,,,Dorji 1998: 67,bəjə,bəjə,bəjə,,,Hu 1986: 195,bəjə,bəjə,bəjə,,,Tsumagari 1992: 97,,,,,,,,,,,,,,bəjə,bəjə,man,,,,bəjə,bəjə,,,,,,,,,,bèoǰe ~ bèoǰè,bọjə,bɵjə,man; body; face; oneself,,Cincius 1982: 200,bèǰ ~ băǰ,bej,bej,,,Novikova 1980: 164
,ilə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ilè,ilə,ɨlə,,,Vasilevich 1958: 166,,ilə,ilə,,,,,,,,,,,,,,,,,ilə,ilə,Evenki person,,,,,,,,,,,,,,
push (v.),ana-,,,,,,,ana-,ana-,ana-,,,Norman 1978: 17,anə-,anə-,ɑnɘ-,,,Li 1986: 156,ana-,ana-,ana-,,,An 1986: 98,ana-,ana-,ana-,,,Sunik 1958: 164,ana-,ana-,ana-,,,Sem 1976: 138,ana-,ana-,ana-,,,Onenko 1980: 39,ana-,ana-,ana-,,,Sunik 1985: 172,ana-,ana-,ɑnɑ-,,,Ikegami 1997: 9,ana-,ana-,ana-,to close a smoke flap,,Girfanova 2001: 36,ana-,ana-,ana-,,,"Avrorin, Lebedeva 1978: 163",,,,,,,ana-,ana-,ana-,,,Li and Whaley 2009 http://wold.clld.org/valuesets/20-10-67,ana-,ana-,ana-,,,Tsumagari 1992: 97,ana-,ana-,ana-,,,Vasilevich 1958: 30,,,,,,,,,,,,,,,,,,,,,,,,,ana- ~ anu-,ana- ~ anu-,ana- ~ anu-,,,"Cincius 1982: 191, 192",an- ~ an-dú-,an- ~ an-du-,aˁn- ~ aˁnduˁ-,,push-SUF-,Novikova 1980: 158
,hiːnda-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ḥí̄nda-,hiːnda-,ħiˁːndaˁ-,,,Novikova 1980: 225
,tirə-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tire-,tirə-,tirə-,,,Dorji 1998: 690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
river (n.),bira,bira,bira,bira,,a smaller river,Kane 1989: 162,bira,bira,bjira,,,Norman 1978: 30,bira,bira,birɑ,,,Li 1986: 143,bira,bira,pira,,,Zhang et al. 1989: 137,bìra,bịra,bjɪra,,,Sunik 1958: 166,,,,,,,,,,,,,,,,,,,,,,,,,bˀeœsa,bˀäsa,bæ̰sa,,,Girfanova 2001: 69,,,,,,,bēra,bera,bɛra,,,Dorji 1998: 71,bɪra,bera,bera,,,Hu 1986: 190,bira,bira,bɪra,,,Tsumagari 1992: 97,bira,bira,bira,,,Vasilevich 1958: 56,,bira,bira,,,,,bira,bira,,,,,bira,bira,,,,,bira,bira,,,,beǰa ~ biǰa,beja ~ bija,beja ~ bija,,,Cincius 1982: 196,,,,,,
,mamŋə,,,,,,,,,,,,,,,,,,,mamŋə,mamŋə,mamŋə,,,Zhang et al. 1989: 137,,,,,,,mamǧo ~ mamǧu̇,mamgo,mamɢo,,,Sem 1976: 171,mangbo,maŋbo,maɴbwo,,,Onenko 1980: 257,maňgú,maŋgo,maŋgo,,big river,Sunik 1985: 212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ula,ula,ula,ula,,a larger river,Kane 1989: 161,ula,ula,ula,,a large river,Norman 1978: 294,ula,ula,ulɑ,,,Li 1986: 143,,,,,,,,,,,,,u̇la,ola,ola,,,Sem 1976: 171,,,,,,,,,,,,,,,,,,,uli,uli,uli,water,,Kormushin 1998: 301,úli,ụli,olji,,,"Avrorin, Lebedeva 1978: 238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,úní,one,one,,mountain river,Sunik 1985: 247,uni,uni,uni,,,Ikegami 1997: 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ọkaːt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oḳāt,ọkaːt,oˁqaˁːt,,,Novikova 1980: 204
to be(come) rotten (v.),nijaki-,,,,,,,niyaki-na-,nijaki-na-,njijaqji-na-,,"to form pus, pus-VBLZ ",Norman 1978: 216,ja-,ja-,jɑ-,,,Li 1986: 161,nia-,nia-,ɲa-,,,Li 2006: 101,n'akto,ńakto,ɲaqto,,,Sunik 1958: 184,n'ǣ-,ńäː-,ɲæː-,,,Sem 1976: 176,nâ-,ńa-,ɲa-,,,Onenko 1980: 303,n'ē-,ńeː-,ɲeː-,,,Sunik 1985: 218,naa-,naː-,nɑː-,,,Ikegami 1997: ,ṇā-,ńaː-,ɲaː-,,to become rotten,Girfanova 2001: 231,n'ā-,ńaː-,ɲaː-,,,"Avrorin, Lebedeva 1978: 209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n'ā-,ńaː-,ɲaː-,spoil; decay,,Cincius 1982: 249,,,,,,
,munu-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,munu-,munu-,munu-,,,Dorji 1998: 459,munu-,munu-,munu-,,,Hu 1986: 204,munu-,munu-,munu-,,,Tsumagari 1992: 97,munu-,munu-,mʉnʉ-,,,Vasilevich 1958: 264,,munu-,munu-,,,,,munu-,munu-,,,,,munu-,munu-,,,,,,,,,,,,,,,,mun-,mun-,mun-,,,Novikova 1980: 191
round,murgi,,,,,,,,,,,,,,,,,,,murgi,murgi,murgi,,,An 1986: 101,muru-muru (bi),muru-muru (bi),muru-muru (bji),,ideophone,Sunik 1958: 183,murg'i mèrg'i ~ muhèrg'i ~ muru-muru b'ī,murgi mərgi ~ muhərgi ~ muru-muru biː,murgji mərgji ~ muxərgji ~ muru-muru bjiː,,2d,"Sem 1976: 173, 174",,,,,,,morol-morol / muru-muru bi,morol-morol / muru-muru bi,morol-morol / muru-muru bji,,morol-morol - 3d,"Sunik 1985: 214, 215",morolisu,morolisu,mɔrɔliʃu,,,Ikegami 1997: 125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muru-mè,muru-mə,mʉrʉmə,,2D; round-ADJ,Vasilevich 1958: 265,,murukiː / murumə́,murukiː / murumə́,,,,,muruːma,muruːma,,round-DIM,,,,,,,,,murukə,murukə,,,,,,,,,,mèrèti,mereti,mereti,,2D,Novikova 1980: 193
,poŋgolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poŋgolo,/pɔŋ.gɔ.lɔ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,boŋgal-,,,,,,,,,,,,,,,,,,,,,,,,,boŋgal-kìn,boŋgal-kịn,boŋɢal-kjɪn,,sphere-SUF,Sunik 1958: 167,boŋǧa-boŋǧa b'ī ~ boŋǧal-boŋǧal b'ī ~ bèŋgèl-bèŋgèl b'ī ,boŋga-boŋga biː ~ boŋgal-boŋgal biː ~ bəŋgəl-bəŋgəl biː,boŋɢa-boŋɢa bjiː ~ boŋɢal-boŋɢal bjiː ~ bəŋgəl-bəŋgəl bjiː,,,"Sem 1976: 143, 144",bongal-bongal bī,boŋal-boŋal biː,bwoɴal-bwoɴal biː,,ideophone; lit. round is,Onenko 1980: 75,,,,,,,,,,,,,bombo-ligi,bombo-ligi,bombo-ljiɣji,,(3D) < sphere-SUF,Girfanova 2001: 58,bonbolkaa ~ bonbokko,bonbolkaː ~ bonbokko,bɔnbɔlkaː ~ bɔnbɔkːɔ,,,Kazama 1996: 22,banggal,baŋgal,baŋgal,,2D,Dorji 1998: 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,búŋn'úḳa ~ búŋn'úlí ~ búŋtúlí ,buŋńuka ~ buŋńuli ~ buŋtuli,buˁŋɲuˁqaˁ ~ buˁŋɲuˁliˁ ~ buˁŋtuˁliˁ,a sphere,3D,Novikova 1980: 164
,monto-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monto-ligi,monto-ligi,monto-ljiɣji,,(2D) < cycle-SUF,Girfanova 2001: 209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,muliə,muli'e,muliə,muliə,,,Kane 1989: 149,muheliyen,muhəlijən,muxəljijən,,,Norman 1978: 203,muxulin,muxulin,muɣulin,,,Li 1986: 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʤaŋgale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,janggalē,ʤaŋgale,ʤaŋgalɛ,,2D or 3D,Dorji 1998: 357,,,,,,,,,,,,,,,,,,,,čumbukiː,t͡ʃumbukiː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tọŋgọ-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,toŋgo.rin,tọŋgọ.rin,toŋgorin,,round.ADJ,Hu 1986: 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,toňguli-kin,toŋguli-kin,toŋgulikin,,round-ADJ,Cincius 1982: 277,,,,,,
,mukčə-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mukčè-mè,mukčə-mə,mʉkʧəmə,,3D; round-ADJ,Vasilevich 1958: 260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea (n.),namu,,,,,,,namu,namu,namu,ocean,,Norman 1978: 209,,,,,,,lamu,lamu,lamu,,,Zhang et al. 1989: 138,lamu̇,lamụ,lamʊ,,,Sunik 1958: 180,lamo ~ lamu̇,lamo,lamo,,,Sem 1976: 169,namo,namo,namʊ,ocean,,Onenko 1980: 281,namú,namo,namo,,,Sunik 1985: 216,namu,namu,nɑmu,,,Ikegami 1997: 133,namu,namu,namu,ocean,,Girfanova 2001: 220,nāmú,naːmụ,naːmo,water surface,,"Avrorin, Lebedeva 1978: 208",namo,namụ,namʊ,,,Dorji 1998: 472,,,,,,,,,,,,,lāmu,laːmu,laːmu,,,Vasilevich 1958: 233,,,,,,,,,,,,,,,,,,,,,,,,,lām,laːm,laːm,ocean,,Cincius 1982: 237,nam,nam,naˁm,,,Novikova 1980: 194
,mədə,mede,mədə,mədə,,,Kane 1989: 163,mederi,mədəri,mədərji,,,Norman 1978: 195,mədərj,mədərj,mɘdɘrj,,,Li 1986: 143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dalaj (<Mong. Cincius (ed.) 1975: 193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dalaj,dalaj,dalaj,,,Hu 1986: 190,dalaj,dalaj,dalaj,,,Tsumagari 1992: 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed (n.),usə,,,,,,,use,usə,usə,egg of an insect,,Norman 1978: 299,uso,uso,uzo,,,Li 1986: 147,udzə,usə,uzə,,,An 1986: 91,usè,usə,usə,,,Sunik 1958: 196,usè,usə,usə,,,Sem 1976: 194,usè,usə,usə,,,Onenko 1980: 434,usè,usə,usə,,,Sunik 1985: 246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,təmmə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,təmmə,təmmə,təmːə,,,Ikegami 1997: 205,cəmə,cəmə,ʦəmə,nut kernel,,Girfanova 2001: 357,čèmè,čəmə,ʧəmə,,,"Avrorin, Lebedeva 1978: 255",,,,,,,,,,,,,,,,,,,čè̄mè,čəːmə,ʧəːmə,,,Vasilevich 1958: 533,,čəmə,t͡ʃəmə,,of a cedar nut,,,,,,,,,,,,,,,,,,,,,,,,,,čè̄minè,čeːmine,ʧeːmine,nut,,Novikova 1980: 237
,iqtə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iḳtè,iqtə,iqtə,,,Sunik 1985: 197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,niːntə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,niintə,niːntə,ɲiːntə,root?,,Tsumagari 1992: 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n'aŋtắ,ńaŋta,ɲaˁŋtaˁ ,,,Novikova 1980: 199
,urə (< Mong. Cincius (ed.) 1977: 358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ure,urə,urə,,,Dorji 1998: 736,urə,urə,urə,,,Hu 1986: 193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharp,həmbəːru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xəmbəəru,həmbəːru,xəmbəːru,,,Ikegami 1997: 236,əməi,əməi,əməi,,,Kormushin 1998: 314,,,,,,,,,,,,,əmər,əmər,əmər,,,Hu 1986: 206,,,,,,,èmir,əmir,əmɨr,,,Vasilevich 1958: 556,,əmər,əmər,,,,,əmər,əmər,,,,,əmər,əmər,,,,,,,,,,èmèǰi-gdi,əməji-gdi,əməjigdi,,sharp-ADJ,Cincius 1982: 306,èmăr ~ ămăr,emer,emer,sharp-sighted,,Novikova 1980: 239
,duv,,,,,,,,,,,,,duv,duv,duv,,,Li 1986: 162,dubə,dubə,tubə,,,An 1986: 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sarbị,,,,,,,,,,,,,,,,,,,,,,,,,sarbì,sarbị,sarbjɪ,,,Sunik 1958: 188,sar b'ī,sar biː,sar bjiː,,,Sem 1976: 180,sarbi,sarbe,sarbi,,,Onenko 1980: 355,,,,,,,,,,,,,,,,,,,sabbi,sabbi,sabːi,,,"Avrorin, Lebedeva 1978: 219",sebb-ing,šəbb-iŋ,səbːiŋ,,sharp-ADJ,Dorji 1998: 586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cem ~ cem-cem biə,cem ~ cem-cem biə,ʦəm ~ ʦəm-ʦəm bjie,,cem-cem biə lit. to be sharp,Girfanova 2001: 357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dačun,,,,,,,dacun,dačun,daʧun,,,Norman 1978: 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dāḳa-vlí,daːqa-wle,daːqawle,,sharp-ADJ,Sunik 1985: 189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short,foholo,foholo,foholo,foxolo,,,Kane 1989: 165,foholon,foholon,foχolon,,,Norman 1978: 91,fœχulun,föhulun,fœɣulun,,,Li 1986: 162,foχolon,foholon,fɔχɔlɔn,,,An 1986: 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hurmi,,,,,,,,,,,,,,,,,,,,,,,,,hurmi,hurmi,xurmji,,,Sunik 1958: 201,hurm'i ~ orm'í,hurmi ~ ormị,xurmji ~ ormje,,,Sem 1976: 204,hurmi ~ hurumi,hurmi ~ hurumi,xwurmji ~ xwurwumji,,,"Onenko 1980: 482, 483",hurmi,hurmi,xurmji,,,Sunik 1985: 254,xurumi,hurumi,xurumi,,,Ikegami 1997: 248,umacˀa,umacˀa,umaʦa̰,,,Girfanova 2001: 319,ūmi,uːmi,uːmji,,,"Avrorin, Lebedeva 1978: 241",urungku-heng,uruŋku-həŋ,uruŋkuxəŋ,,short.SUF,Dorji 1998: 739,urum-kun,urum-kun,urumkun,,short-ADJ,Hu 1986: 205,urum.kun,urum.kun,urumkun,,short.ADJ,Tsumagari 1992: 98,urum ~ urum-kūn,urum ~ urum-kuːn,ʉrʉm ~ ʉrʉmkʉːn,,short-ADJ,"Vasilevich 1958: 453, 454",,uru:mkun,uru:mkun,,short-DIM,,,,,,,,,urumkuːn,urumkuːn,,,,,urumkun,urumkun,,,,uǰum-kūn,ujum-kuːn,ujumkuːn,brief,short-ADJ,Cincius 1982: 283,urumkun,urumkun,urumkun,short time,,Novikova 1980: 217
sing (v.),ʤari-,,,,,,,,,,,,,,,,,,,ʥari-,ʤari-,ʨari-,,,Zhang et al. 1989: 120,ʒarì-,ʤarị-,ʤarjɪ-,,,Sunik 1958: 174,ʒar'í- ~ ʒar'í-la-,ʣarị- ~ ʣarị-la-,ʣarje- ~ ʣarje-la-,,sing-SUF-,Sem 1976: 156,dâri-,ʤare-,ʤarje-,,,Onenko 1980: 182,,,,,,,,,,,,,,,,,,,ǯari-,ʤari-,ʤarji-,,,"Avrorin, Lebedeva 1978: 183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jəhəi-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jəxəi-,jəhəi-,jəxəi-,,,Girfanova 2001: 123,,,,,,,,,,,,,,,,,,,,,,,,,ikè̄-,ikəː-,ɨkəː-,,,Vasilevich 1958: 160,,ikaː-,ikɒː-,,to sing shamanic chants,,,ikɒː-,ikɒː-,,,,,,,,,,,,,,,,īhạ̄- ~ ihè̄- ~ ikạ̄- ~ ikè̄,iːhọː- ~ ihəː- ~ ikọː- ~ ikəː,iːxɵː- ~ ixəː- ~ ikɵː- ~ ikəː,,,Cincius 1982: 224,ikè-,ike-,ike-,,,Novikova 1980: 177
,caŋa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caŋala-,caŋala-,ʦaŋala-,caŋala - play musical instrument,,Girfanova 2001: 349,,,,,,,jaanda-,ʤaːnda-,ʤaːnda-,,,Dorji 1998: 348,ʤaandaa-,ʤaːndaː-,ʤaːndaː-,,,Hu 1986: 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jaja-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jaja-,jaja-,jaja-,,,Sunik 1985: 199,jaaja-,jaːja-,jɑːjɑ-,,,Ikegami 1997: 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,uču-,učulo-,učulo-,uʧulo-,,,Kane 1989: 358,ucule-,učulə-,uʧulə-,to mix,,Norman 1978: 290,utʂulu-,učulu-,utʂhulu-,,,Li 1986: 159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dablaː-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dablaa-,dablaː-,dablaː-,,,Tsumagari 1992: 98,davlā-,dawlaː-,dawlaː-,,,Vasilevich 1958: 103,,dawlaː-,dawlaː-,,"to sing (about a bird), though can also refer to people singing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sky (n.),agua,agua,agua,agua,,,Kane 1989: 134,abka,abka,abqa,weather,,Norman 1978: 3,avqa,avqa,ɑvqɑ,,,Li 1986: 143,abqa,abka,apqa,,,An 1986: 87,apka,apka,apqa,,,Sunik 1958: 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,naŋna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naŋna,/naŋ.na/,,,,ṇaŋṇa,ńaŋńa,ɲaŋɲa,,,Kormushin 1998: 269,n'aňn'a(n),ńaŋńa(n),ɲaŋɲa(n),,,"Avrorin, Lebedeva 1978: 210",nanna,nanna,nanːa,,,Dorji 1998: 474,,,,,,,naŋna,naŋna,naŋna,,,Tsumagari 1992: 98,nângnâ,ńaŋńa,ɲaŋɲa,,,Vasilevich 1958: 311,,,,,,,,ńaŋńa,ɲaŋɲa,,,,,ńaŋɲa,ɲaŋɲa,,,,,,,,,,n'aňn'a,ńaŋńa,ɲaŋɲa,,,Cincius 1982: 250,n'ān'ín,ńaːńin,ɲaˁːɲiˁn,,,Novikova 1980: 199
,baː,,,,,,,,,,,,,,,,,,,,,,,,,bā ~ boa,baː ~ boa,baː ~ boa,"place, weather",,Sunik 1958: 165,bā,baː,baː,world; weather; nature; place,,Sem 1976: 140,boa,boa,bwoa,weather; place; country,,Onenko 1980: 68,bā,baː,baː,weather,,Sunik 1985: 174,boo,boː,bɔː,weather; world,,Ikegami 1997: 23,bua,bua,bua,world; country; place; outside,,Girfanova 2001: 60,bú͜a,bụa,boa,bú͜a - place; Universe; world; weather,,"Avrorin, Lebedeva 1978: 168",,,,,,,bʊga,bụga,bʊɣa,,,Hu 1986: 190,,,,,,,buga,buga,buɣa,world,,Vasilevich 1958: 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ugidɵː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ugidɵː,uγidɵː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
